,0,1,2,3,4,5,6,7,8,9,10
16,Ofloxacin (Ofx),Daiichi Sankyo,6647.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Levofloxacin (Lfx),Daiichi Sankyo,411285.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Amikacin (Amk),Bristol-Myers Squibb,8863.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Didanosine (ddl),Bristol-Myers Squibb,0.0,0.0,1784.81,0.0,0.0,0.0,0.0,0.0,0.0
20,Stavudine (d4t),Bristol-Myers Squibb,0.0,0.0,9174.83,0.0,0.0,0.0,0.0,0.0,0.0
21,Atazanafir/Ritonavir (ATV/r),Bristol-Myers Squibb,0.0,0.0,7984.31,0.0,0.0,0.0,0.0,0.0,0.0
22,Ethambutol (E or EMB),Pfizer Inc.,8470126.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Ethionamide (Eto),Pfizer Inc.,404638.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Cycloserine (Cs),Pfizer Inc.,431227.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,p-aminosalicylic acid (PAS),Pfizer Inc.,404638.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Diethylcarbamazine (DEC),Pfizer Inc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.39
27,Nelfinavir (NFV),Pfizer Inc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Doxycycline (D),Pfizer Inc.,0.0,1579.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Lamivudine (3TC),Shire Pharmaceuticals,0.0,0.0,726553.57,0.0,0.0,0.0,0.0,0.0,0.0
30,Nevirapine (NVP),Boehringer Ingelheim,0.0,0.0,336061.67,0.0,0.0,0.0,0.0,0.0,0.0
31,Emtricitabine (FTC),"Gilead Sciences, Inc.",0.0,0.0,146759.5,0.0,0.0,0.0,0.0,0.0,0.0
32,Tenofovir (TDF),"Gilead Sciences, Inc.",0.0,0.0,495557.51,0.0,0.0,0.0,0.0,0.0,0.0
33,Capreomycin (Cm),Eli Lilly and Company,8863.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Lopinavir / Ritonavir (LPV/r),Abbot Laboratories,0.0,0.0,85896.66,0.0,0.0,0.0,0.0,0.0,0.0
35,Artemether-Lumefantrine (AL),Novartis,0.0,12918868.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,DHA-Piperaquine (DHA-PPQ),Chongqing Holley Pharmaceutical Co. Ltd and Sigma Tau Industrie Farmaceutiche,0.0,25919.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Artemether (AM),"Guilin Pharmaceutical Co., Ltd",0.0,9019.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Albendazole (ALB),GlaxoSmithKline,0.0,0.0,0.0,201983.17,24225.95,6784.35,0.0,0.0,2484.03
39,"Atovaquone + Proguanil
(AT + PG)",GlaxoSmithKline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Zidovudine (AZT),GlaxoSmithKline,0.0,0.0,322247.27,0.0,0.0,0.0,0.0,0.0,0.0
41,Abacavir (ABC),GlaxoSmithKline,0.0,0.0,62804.29,0.0,0.0,0.0,0.0,0.0,0.0
42,Mebendazole (MBD),Johnson and Johnson,0.0,0.0,0.0,3844.0,3360.12,1850.99,0.0,0.0,0.0
43,Artemisinin + Piperaquine (ART + PPQ),Artepharm,0.0,14.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Clarithromycin (CL),Taisho Pharmaceuticals,0.0,1299.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
