"","2010","","","","","","","","","","","","2013","","","","","","","","",""
"Country","TB","Malaria ","HIV","RoundWorm","HookWorm","WhipWorm","Schistosomiasis","Onchocerciasis","LF","NTDs","Total","Country","TB","Malaria ","HIV","RoundWorm","HookWorm","WhipWorm","Schistosomiasis","Onchocerciasis","LF","Total"
"Marshall Islands","1,354.25","1.99","0.00","1.43","22.98","0.37","0.00","","0.00","24.78","1,381.02","Marshall Islands","405.28","0.00","101.31","1.22","23.24","0.38","0.00","0.00","15.89","531.42"
"Mauritania","71,509.96","156,683.46","53,657.13","114.18","97.14","2.39","7,093.31","","83.40","7,390.43","289,240.97","Mauritania","64,562.04","167,815.59","32,130.45","91.69","102.08","2.50","6,994.46","0.00","93.17","271,698.81"
"Mauritius","1,123.94","9.83","24,346.88","0.58","0.01","0.00","1,152.40","","0.00","1,152.99","26,633.63","Mauritius","1,119.62","0.00","5,032.48","0.42","0.01","0.00","1,196.80","0.00","0.00","7,349.32"
"Mexico","289,581.21","116.68","266,959.39","5,390.87","26.95","6,442.94","0.00","","0.00","11,860.76","568,518.04","Mexico","194,378.32","119.66","291,762.27","5,005.67","22.56","6,247.48","0.00","0.00","0.00","497,535.97"
"Micronesia (Federated States of)","1,821.06","4.14","0.00","22.62","10.84","0.42","0.00","","25.09","58.98","1,884.17","Micronesia (Federated States of)","0.00","0.00","0.00","21.13","9.28","0.40","0.00","0.00","53.32","30.82"
"Monaco","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","Monaco","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Mongolia","57,373.91","0.96","1,101.73","0.00","0.04","0.00","0.00","","0.00","0.04","58,476.64","Mongolia","51,850.26","0.00","160.05","0.00","0.05","0.00","0.00","0.00","0.00","52,010.36"
"Montenegro","621.87","0.53","94.57","0.16","0.00","0.00","0.00","","0.00","0.16","717.13","Montenegro","382.05","0.00","54.22","0.11","0.00","0.00","0.00","0.00","0.00","436.38"
"Montserrat","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","Montserrat","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Morocco","477,696.51","8.93","78,606.34","433.43","0.29","64.47","2,864.39","","0.00","3,362.58","559,674.36","Morocco","205,209.92","400.00","20,964.15","400.15","0.34","64.31","2,969.81","0.00","0.00","230,008.68"
"Mozambique","1,078,455.47","5,258,951.00","4,138,318.25","45,368.97","8,471.02","8,606.72","26,049.25","","44,502.73","132,998.70","10,608,723.42","Mozambique","1,043,451.44","3,536,394.24","5,316,341.06","26,412.60","11,436.36","9,757.52","23,110.60","0.00","41,955.20","9,966,903.82"
"Myanmar","2,268,199.12","1,286,395.29","1,125,585.01","7,744.98","806.53","3,786.04","0.00","","73,416.48","85,754.02","4,765,933.43","Myanmar","1,499,869.38","656,448.06","474,687.30","4,956.92","490.17","2,553.17","0.00","0.00","57,579.34","2,639,005.00"
"Namibia","85,112.90","31,208.82","295,555.87","18.10","478.56","5.75","1,549.42","","0.00","2,051.83","413,929.42","Namibia","179,840.73","18,198.09","311,400.38","14.05","482.70","6.03","1,695.69","0.00","0.00","511,637.67"
"Nauru","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","Nauru","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Nepal","799,163.85","32,006.41","223,024.23","3,207.31","13,736.89","1,675.15","0.00","","30,335.87","48,955.21","1,103,149.70","Nepal","527,501.25","28,320.28","86,941.38","2,887.84","13,382.30","1,593.61","0.00","0.00","23,831.79","660,626.66"
"Netherlands","7,030.72","5.52","5,222.45","0.00","0.00","0.00","0.00","","0.00","0.00","12,258.68","Netherlands","4,791.42","0.00","4,219.40","0.00","0.00","0.00","0.00","0.00","0.00","9,010.82"
"New Caledonia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","New Caledonia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"New Zealand","1,548.79","20.38","918.33","0.00","0.00","0.00","0.00","","0.00","0.00","2,487.50","New Zealand","1,013.05","0.00","853.17","0.00","0.00","0.00","0.00","0.00","0.00","1,866.22"
"Nicaragua","32,552.52","1,741.69","4,978.91","196.82","11.05","40.46","0.00","","0.00","248.34","39,521.46","Nicaragua","14,024.25","815.53","4,340.65","147.15","6.16","27.31","0.00","0.00","0.00","19,361.05"
"Niger","575,787.22","2,846,555.29","191,428.62","4,011.56","530.24","0.00","22,940.75","","11,209.69","38,692.24","3,652,463.37","Niger","430,291.19","2,694,360.43","229,617.69","3,710.49","478.37","0.00","14,396.89","0.00","9,905.14","3,372,855.07"
"Nigeria","4,251,848.36","45,922,844.19","9,429,745.65","155,150.34","19,915.90","453.20","391,251.25","","242,127.33","808,898.03","60,413,336.23","Nigeria","3,251,812.01","31,585,759.63","10,584,503.71","152,225.71","20,372.71","485.40","356,862.32","183,163.94","257,452.30","46,135,185.42"
"Niue","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","Niue","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Northern Mariana Islands","0.00","0.00","0.00","0.00","0.03","0.00","0.00","","0.00","0.03","0.03","Northern Mariana Islands","0.00","0.00","213.95","0.00","0.02","0.00","0.00","0.00","0.00","213.97"
"Norway","1,786.41","2.07","1,233.67","0.00","0.00","0.00","0.00","","0.00","0.00","3,022.15","Norway","1,584.66","0.00","835.85","0.00","0.00","0.00","0.00","0.00","0.00","2,420.51"
"Oman","5,309.09","2.40","1,076.67","1.14","0.04","0.00","71.80","","0.00","72.98","6,461.15","Oman","2,842.04","0.00","1,044.79","1.12","0.04","0.00","98.31","0.00","0.00","3,986.30"
"Pakistan","5,250,449.18","259,142.96","202,507.87","17,918.63","1,416.22","28.09","0.00","","0.00","19,362.94","5,731,462.96","Pakistan","3,108,471.83","211,409.88","82,153.29","17,502.19","1,432.46","28.87","0.00","0.00","0.00","3,420,998.51"
"Palau","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","Palau","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Panama","16,254.24","805.87","44,187.32","111.85","0.06","0.00","0.00","","0.00","111.91","61,359.34","Panama","15,730.32","1,540.23","27,936.69","104.04","0.03","0.00","0.00","0.00","0.00","45,311.31"
"Papua New Guinea","261,679.04","126,552.95","96,328.24","5,167.64","8,700.49","0.00","0.00","","15,916.26","29,784.39","514,344.63","Papua New Guinea","52,801.19","110,894.95","41,052.17","4,764.93","8,933.08","0.00","0.00","0.00","17,662.22","218,446.33"
"Paraguay","26,258.37","6.71","26,365.86","189.63","349.21","5.95","0.00","","0.00","544.79","53,175.73","Paraguay","21,654.38","0.00","5,331.01","168.19","333.87","5.49","0.00","0.00","0.00","27,492.95"
"Peru","225,074.07","1,307.75","131,125.55","1,134.69","170.82","992.86","0.00","","0.00","2,298.36","359,805.74","Peru","172,057.44","1,911.74","17,230.96","995.33","151.64","899.33","0.00","0.00","0.00","193,246.44"
"Philippines","2,608,562.88","50,854.31","19,971.84","20,876.42","21,517.55","5,698.03","69,810.23","","55,576.08","173,478.31","2,852,867.35","Philippines","1,957,932.42","50,145.13","251,928.42","16,173.21","17,362.26","5,355.00","58,827.08","0.00","36,379.95","2,357,723.53"
"Poland","61,559.26","31.86","12,167.36","0.83","0.00","0.00","0.00","","0.00","0.83","73,759.30","Poland","53,217.25","0.00","7,489.53","0.62","0.00","0.00","0.00","0.00","0.00","60,707.39"
"Portugal","20,676.42","3.25","42,767.16","0.00","0.00","0.00","0.00","","0.00","0.00","63,446.83","Portugal","12,352.00","0.00","37,869.09","0.00","0.00","0.00","25.27","0.00","0.00","50,246.35"
"Puerto Rico","0.00","0.00","0.00","0.00","0.00","0.00","157.55","","0.00","157.55","157.55","Puerto Rico","0.00","0.00","12,920.52","0.00","0.00","0.00","130.93","0.00","0.00","13,051.44"
"Qatar","3,696.55","207.74","960.94","0.00","0.01","0.00","0.00","","0.00","0.01","4,865.24","Qatar","957.89","0.00","221.04","0.00","0.01","0.00","0.00","0.00","0.00","1,178.94"
"Republic of Korea","245,666.01","29.25","22,242.36","0.00","0.52","0.00","0.00","","12,680.19","12,680.70","280,618.32","Republic of Korea","184,038.61","102.60","0.00","0.00","0.45","0.00","0.00","0.00","0.00","184,141.66"
"Republic of Moldova","42,058.19","14.11","31,752.43","0.39","0.00","0.00","0.00","","0.00","0.39","73,825.12","Republic of Moldova","27,948.35","0.00","0.00","0.28","0.00","0.00","0.00","0.00","0.00","27,948.64"
"Romania","171,989.13","18.02","33,359.35","2.46","0.00","0.00","0.00","","0.00","2.46","205,368.95","Romania","84,774.44","0.00","7,650.67","1.76","0.00","0.00","0.00","0.00","0.00","92,426.87"
"Russia","1,929,282.07","447.09","2,384,348.57","0.00","0.00","0.00","0.00","","0.00","0.00","4,314,077.73","Russia","1,131,419.13","0.00","946,919.48","0.00","0.00","0.00","47.66","0.00","0.00","2,078,386.27"
"Rwanda","350,772.69","702,035.14","299,877.30","26,080.13","7,563.59","930.33","11,735.00","","0.00","46,309.04","1,398,994.18","Rwanda","313,266.20","333,953.45","301,981.52","4,323.81","4,310.73","682.68","10,402.15","0.00","0.00","968,920.55"
"Saint Kitts and Nevis","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","Saint Kitts and Nevis","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Saint Lucia","561.64","0.15","1,048.23","5.47","19.59","1.59","28.68","","0.00","55.33","1,665.35","Saint Lucia","383.16","0.00","491.10","5.19","17.60","1.50","28.87","0.00","0.00","927.41"
"Saint Vincent and the Grenadines","173.80","0.09","1,480.48","1.34","13.08","0.02","0.00","","0.00","14.44","1,668.80","Saint Vincent and the Grenadines","191.58","0.00","1,257.84","1.22","12.68","0.02","0.00","0.00","0.00","1,463.33"
"Samoa","677.68","6.23","0.00","1.91","3.88","0.00","0.00","","163.31","169.10","853.02","Samoa","574.74","0.00","279.44","1.56","3.35","0.00","0.00","0.00","98.49","859.09"
"San Marino","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","San Marino","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Sao Tome and Principe","1,114.15","8,177.66","2,553.41","112.71","41.32","35.81","201.24","","422.07","813.15","12,658.37","Sao Tome and Principe","1,158.15","6,707.50","1,549.59","68.76","38.79","29.39","182.87","0.00","463.62","9,735.04"
"Saudi Arabia","76,215.64","1,064.12","9,142.05","75.01","526.89","0.06","479.31","","0.00","1,081.26","87,503.07","Saudi Arabia","51,610.36","1,737.40","13,600.97","60.74","505.81","0.06","461.25","0.00","0.00","67,976.59"
"Senegal","296,995.97","705,910.98","122,962.61","1,367.14","492.16","60.22","45,091.23","","8,577.34","55,588.09","1,181,457.65","Senegal","280,829.41","554,927.25","128,441.68","1,110.60","520.55","66.63","32,089.71","0.00","10,424.90","997,985.83"
"Serbia","12,942.27","11.35","17,853.31","0.82","0.00","0.00","0.00","","0.00","0.82","30,807.75","Serbia","8,940.13","0.00","490.40","0.63","0.00","0.00","0.00","0.00","0.00","9,431.16"
"Seychelles","219.49","0.88","480.19","5.45","19.03","21.96","0.00","","0.00","46.43","746.99","Seychelles","190.45","0.00","439.33","3.86","16.60","25.38","0.00","0.00","0.00","675.62"
"Sierra Leone","216,314.86","1,594,184.56","136,348.74","11,443.97","3,563.40","392.37","5,703.43","","7,020.29","28,123.46","1,974,971.62","Sierra Leone","173,102.35","1,309,252.48","160,786.39","6,095.53","1,730.17","221.18","3,500.66","19,560.99","6,177.43","1,674,249.74"
"Singapore","6,933.02","0.67","3,107.24","0.00","0.00","0.00","0.00","","0.00","0.00","10,040.92","Singapore","4,474.23","0.00","2,419.86","0.00","0.00","0.00","0.00","0.00","0.00","6,894.09"
"Sint Maarten (Dutch part)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","Sint Maarten (Dutch part)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Slovakia","4,607.51","4.37","396.16","0.28","0.00","0.00","0.00","","0.00","0.28","5,008.31","Slovakia","2,953.67","0.00","176.10","0.24","0.00","0.00","0.00","0.00","0.00","3,130.01"
"Slovenia","1,638.11","1.62","547.18","0.00","0.00","0.00","0.00","","0.00","0.00","2,186.90","Slovenia","1,147.93","0.00","91.16","0.00","0.00","0.00","0.00","0.00","0.00","1,239.09"
"Solomon Islands","13,833.03","6,619.64","0.00","39.54","348.30","47.73","0.00","","0.00","435.57","20,888.23","Solomon Islands","8,237.89","3,078.92","807.79","32.65","308.73","45.67","0.00","0.00","0.00","12,511.65"
"Somalia","566,966.65","1,028,946.13","266,964.86","2,630.35","3,998.80","1,291.29","19,970.75","","0.00","27,891.18","1,890,768.82","Somalia","659,347.87","507,457.99","128,050.35","2,551.92","3,946.59","1,372.17","20,235.36","0.00","0.00","1,322,962.24"
"South Africa","1,648,227.98","21,723.92","12,066,713.66","2,518.89","12,964.58","9,283.94","46,196.50","","0.00","70,963.91","13,807,629.47","South Africa","1,760,028.37","27,582.82","14,461,726.93","1,970.02","13,482.59","9,297.73","45,177.87","0.00","0.00","16,319,266.33"
"South Sudan","240,704.05","393,571.76","551,492.71","7,659.26","1,423.15","4.17","16,228.15","","2,485.45","27,800.18","1,213,568.69","South Sudan","195,514.65","305,812.27","663,325.29","7,188.79","1,552.10","4.68","18,721.04","83,529.06","2,652.67","1,275,647.89"
"Spain","41,008.24","12.04","56,770.30","0.00","0.00","0.00","0.00","","0.00","0.00","97,790.58","Spain","24,026.54","0.00","56,877.40","0.00","0.00","0.00","0.00","0.00","0.00","80,903.94"
"Sri Lanka","117,550.39","2,523.45","9,919.30","368.87","874.86","142.53","0.00","","8,991.06","10,377.32","140,370.46","Sri Lanka","88,991.32","900.00","3,870.64","319.70","826.41","140.25","0.00","0.00","4,078.55","95,048.32"
"Sudan","581,754.11","3,038,353.82","898,185.43","1,591.85","3,957.42","12.89","21,760.48","","2,341.81","29,664.45","4,547,957.81","Sudan","192,958.87","439,674.65","165,050.08","1,390.19","3,965.14","13.42","19,564.25","0.00","2,551.14","822,616.61"
"Suriname","1,022.00","571.26","16,695.91","6.31","32.34","0.00","481.89","","0.00","520.54","18,809.71","Suriname","1,298.22","117.89","4,233.59","5.08","26.16","0.00","499.40","0.00","0.00","6,180.34"
"Swaziland","53,649.70","1,017.01","389,032.55","207.65","925.91","351.71","968.02","","0.00","2,453.29","446,152.55","Swaziland","105,742.97","15,161.60","379,211.60","163.06","1,185.90","364.38","918.65","0.00","0.00","502,748.17"
"Sweden","1,081.49","0.00","1,946.64","0.00","0.00","0.00","0.00","","0.00","0.00","3,028.13","Sweden","3,170.31","0.00","1,705.12","0.00","0.00","0.00","0.00","0.00","0.00","4,875.43"
"Switzerland","610.31","0.00","6,779.52","0.00","0.00","0.00","0.00","","0.00","0.00","7,389.83","Switzerland","2,542.27","0.00","3,360.75","0.00","0.00","0.00","0.00","0.00","0.00","5,903.03"
"Syrian Arab Republic","53,235.79","0.00","4,022.46","1,054.60","265.93","15.06","2,903.13","","0.00","4,238.72","61,496.97","Syrian Arab Republic","8,302.90","800.00","0.00","994.85","253.74","13.59","2,647.70","0.00","0.00","13,012.78"
"Tajikistan","78,621.07","819.89","29,224.81","64.05","0.05","0.00","0.00","","0.00","64.11","108,729.88","Tajikistan","69,966.27","1,196.61","5,274.90","67.77","0.13","0.00","0.00","0.00","0.00","76,505.68"
"Tanzania","1,030,101.83","7,681,939.19","5,097,139.31","24,581.02","18,925.22","1,290.56","164,061.38","","44,808.03","253,666.21","14,062,846.54","Tanzania","1,722,955.11","3,117,028.98","3,761,143.56","20,327.33","20,364.77","1,418.45","130,143.61","17,379.38","41,158.67","8,790,761.20"
"Thailand","641,817.77","25,168.85","1,226,987.25","482.33","5,598.78","11.62","0.00","","69.72","6,162.44","1,900,136.31","Thailand","410,741.81","17,537.75","634,818.04","350.96","5,026.40","10.76","0.00","0.00","65.49","1,068,485.71"
"The Former Yugoslav Republic of Macedonia","4,934.37","1.82","2,404.73","0.23","0.00","0.00","0.00","","0.00","0.23","7,341.15","The Former Yugoslav Republic of Macedonia","2,768.33","0.00","0.00","0.27","0.00","0.00","0.00","0.00","0.00","2,768.60"
"Timor-Leste","0.00","0.00","0.00","183.52","69.22","8.40","0.00","","3,626.47","3,887.62","3,887.62","Timor-Leste","10,524.25","53,324.71","7,341.87","148.48","71.31","8.96","0.00","0.00","3,622.12","71,419.58"
"Togo","262,470.88","475,520.61","304,080.61","2,028.70","358.88","0.15","32,856.59","","768.26","36,012.56","1,078,084.66","Togo","101,102.55","564,113.27","330,566.30","1,655.77","377.04","0.16","13,183.50","147.74","801.35","1,011,146.33"
"Tokelau","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","Tokelau","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tonga","419.15","3.48","0.00","0.77","6.47","0.11","0.00","","55.72","63.07","485.70","Tonga","191.58","0.00","153.75","0.63","6.29","0.11","0.00","0.00","57.33","352.36"
"Trinidad and Tobago","2,048.17","1.84","30,440.72","3.07","5.18","0.04","0.00","","0.00","8.29","32,499.02","Trinidad and Tobago","2,599.81","0.00","11,095.11","2.74","4.61","0.04","0.00","0.00","0.00","13,702.30"
"Tunisia","25,140.54","2.71","32,245.39","32.80","0.22","0.55","576.62","","0.00","610.18","57,998.82","Tunisia","10,308.52","0.00","3,312.51","30.61","0.21","0.52","600.21","0.00","0.00","14,252.58"
"Turkey","221,876.78","70.70","6,838.71","160.62","1.49","17.85","446.83","","0.00","626.79","229,412.98","Turkey","85,501.90","837.63","8,234.42","138.26","1.01","17.95","468.82","0.00","0.00","95,199.99"
"Turkmenistan","67,131.84","1.59","22,893.37","23.92","0.11","0.00","0.00","","0.00","24.03","90,050.82","Turkmenistan","52,657.82","0.00","11,683.36","18.75","0.10","0.00","0.00","0.00","0.00","64,360.03"
"Turks and Caicos Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","Turks and Caicos Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tuvalu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","Tuvalu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Uganda","1,509,879.98","5,799,033.48","3,164,663.82","11,787.13","7,734.53","145.51","124,976.83","","19,248.43","163,892.43","10,637,469.71","Uganda","1,324,790.46","3,185,402.36","3,110,932.31","11,846.89","6,649.16","130.63","107,285.41","21,450.47","16,061.96","7,768,487.68"
"Ukraine","570,349.50","195.69","1,061,908.94","0.00","0.00","0.00","0.00","","0.00","0.00","1,632,454.13","Ukraine","374,801.25","0.00","393,688.70","0.00","0.00","0.00","0.00","0.00","0.00","768,489.95"
"United Arab Emirates","5,144.08","12.71","12,240.43","0.70","0.08","0.00","0.00","","0.00","0.78","17,398.00","United Arab Emirates","4,955.01","100.00","4,698.47","0.69","0.09","0.00","0.00","0.00","0.00","9,754.26"
"United Kingdom of Great Britain and Northern Ireland","38,394.58","17.93","22,292.47","0.00","0.00","0.00","0.00","","0.00","0.00","60,704.98","United Kingdom of Great Britain and Northern Ireland","24,195.37","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","24,195.37"
"United States","81,484.25","817.95","591,229.51","0.00","0.00","0.00","0.00","","0.00","0.00","673,531.70","United States","59,080.85","0.00","423,726.22","0.00","0.00","0.00","0.00","0.00","0.00","482,807.07"
"Uruguay","5,257.25","0.93","9,527.96","0.76","0.00","0.00","0.00","","0.00","0.76","14,786.90","Uruguay","3,566.25","0.00","9,575.98","0.63","0.00","0.00","0.00","0.00","0.00","13,142.87"
"US Virgin Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","US Virgin Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Uzbekistan","296,254.77","43.93","79,476.60","8.79","0.36","0.00","0.00","","0.00","9.15","375,784.44","Uzbekistan","241,291.65","100.00","31,859.90","7.06","0.35","0.00","0.00","0.00","0.00","273,258.97"
"Vanuatu","4,477.70","501.18","0.00","126.47","143.35","17.23","0.00","","216.23","503.29","5,482.17","Vanuatu","2,873.68","1,367.48","434.00","91.95","125.79","16.73","0.00","0.00","92.10","4,909.64"
"Venezuela","67,611.53","1,049.59","280,952.26","3,180.81","1,539.64","3,960.83","4,927.46","","0.00","13,608.74","363,222.12","Venezuela","48,653.87","9,069.42","108,753.20","2,745.89","1,394.58","3,397.67","5,074.13","861.95","0.00","179,950.72"
"Viet Nam","985,770.75","64,727.70","663,467.68","5,394.90","6,634.97","795.59","0.00","","1,389.13","14,214.59","1,728,180.72","Viet Nam","698,334.75","20,084.16","0.00","3,840.65","4,062.36","577.07","0.00","0.00","1,432.07","726,898.99"
"Wallis and Futuna Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","Wallis and Futuna Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"West Bank and Gaza Strip","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","West Bank and Gaza Strip","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Yemen","414,201.75","363,859.86","8,210.10","1,807.64","524.96","19.01","18,403.38","","51.06","20,806.07","807,077.77","Yemen","195,467.02","373,079.02","8,465.35","1,869.38","528.43","20.22","10,191.79","0.00","48.56","589,621.20"
"Zambia","492,791.63","1,799,198.29","1,858,488.44","5,028.77","6,986.77","21.46","30,006.68","","4,527.77","46,571.45","4,197,049.81","Zambia","779,147.62","1,338,106.87","2,127,425.03","3,992.07","7,427.06","22.71","29,128.63","0.00","4,682.56","4,285,249.98"
"Zimbabwe","618,767.66","289,111.44","2,480,195.97","1,266.63","5,424.55","2,385.49","26,083.21","","58.98","35,218.86","3,423,293.92","Zimbabwe","709,421.71","196,766.23","2,742,206.89","1,000.83","5,713.00","2,534.10","19,070.34","0.00","63.95","3,676,713.11"
